ID_VOLONTAIRE ; NOM;PRENOM ;AGE;GENRE; PAYS_NATIONALITE ;TITRE_ETUDE;PROFESSION; EMAIL ;IDONEITE
VOL065;Cerny;Tomas;33;M;République Tchèque;Doctorat;Enseignant;tomas.cerny@mail.cz;apte
VOL095;Novotny;Lucie;30;F;République Tchèque;;;lucie.novotny@yahoo.com;non-eligible
VOL001;Dvorak;Lucie;26;F;République Tchèque;Master;;lucie.dvorak@mail.cz;apte
VOL012;Dvorak;Katerina;48;F;République Tchèque / Suisse;;Médecin;katerina.dvorak@mail.cz;non-eligible
VOL044;Pocius;Lukas;49;M;Lituanie;Master;Cuisinier;lukas.pocius@gmail.com;apte
VOL030;Nilsson;Erik;42;M;Suède;;Chercheur;erik.nilsson@yahoo.com;non-eligible
VOL010;Olsen;Ingrid;37;F;Norvège;Master;Professeur de physique;ingrid.olsen@mail.no;apte
VOL008;Jansons;Janis;30;M;Lettonie;Licence;;janis.jansons@hotmail.com;non-eligible
VOL029;Nieminen;Lauri;19;M;Finlande;;Enseignant;lauri.nieminen@hotmail.com;non-formé
VOL071;Dupont;Camille;57;F;France;Master;Sportif;camille.dupont@hotmail.com;trop vieux
VOL068;Toth;Bence;44;M;Hongrie / Portugal;Bac;;bence.toth@yahoo.com;non-eligible
VOL092;Jansons;Elina;49;F;Lettonie;Master;Sportif;elina.jansons@yahoo.com;apte
VOL058;Dumitrescu;Mihai;16;X;Roumanie;Bac;Ingénieur;mihai.dumitrescu@hotmail.com;trop jeune
VOL011;Keller;Tim;64;M;Suisse / Autriche;Bac;Informaticien;tim.keller@mail.ch;trop vieux
VOL048;Martinez;Miguel;18;M;Espagne / Roumanie;;Chercheur;miguel.martinez@yahoo.com;non-formé
VOL098;Graf;Mia;33;F;Suisse;;;mia.graf@yahoo.com;non-eligible
VOL099;Larsen;Henrik;28;M;Norvège;Master;Infirmier;henrik.larsen@yahoo.com;apte
VOL061;Tamm;Anna;68;F;Estonie;;Plombier;anna.tamm@yahoo.com;trop vieux
VOL086;Schneider;Hans;40;M;Allemagne;Master;Biologiste;hans.schneider@hotmail.com;apte
VOL020;Meier;Elena;41;F;Suisse;Bac;;elena.meier@mail.ch;non-eligible
VOL025;Karlsson;Sara;20;X;Suède;;Infirmier;sara.karlsson@mail.se;non-formé
VOL096;Toth;Peter;19;M;Hongrie;;;peter.toth@mail.hu;non-formé
VOL064;Keller;Nicolas;40;M;Suisse;Licence;Ingénieur;nicolas.keller@gmail.com;non-eligible
VOL007;Huber;Lukas;46;M;Autriche;;;lukas.huber@mail.at;non-eligible
VOL018;Keller;Luca;20;M;Suisse / Irlande;Licence;;luca.keller@mail.ch;non-formé
VOL077;Santos;Sofia;18;F;Portugal;Bac;Informaticien;sofia.santos@gmail.com;non-formé
VOL031;Kovac;Anna;18;F;Slovaquie;;Chercheur;anna.kovac@yahoo.com;non-formé
VOL032;Martinez;Lucia;41;F;Espagne;Licence;;lucia.martinez@mail.es;non-eligible
VOL034;Ferreira;Mariana;23;F;Portugal;Licence;Professeur de physique;mariana.ferreira@yahoo.com;non-formé
VOL066;Horvath;Marek;22;X;Slovaquie;Ingenieur;Infirmier;marek.horvath@yahoo.com;non-formé
VOL014;Olsen;Lars;33;M;Norvège / Pologne;Master;Professeur de physique;lars.olsen@mail.no;apte
VOL047;Dupont;Jean;23;M;France;;Plombier;jean.dupont@yahoo.com;non-formé
VOL052;Larsen;Jonas;46;M;Norvège;Licence;;jonas.larsen@gmail.com;non-eligible
VOL080;Kazlauskas;Emilija;25;F;Lituanie;;Ingénieur;emilija.kazlauskas@yahoo.com;non-eligible
VOL027;Hansen;Sofie;61;F;Danemark;;Professeur de physique;sofie.hansen@gmail.com;trop vieux
VOL013;Sepp;Karl;28;M;Estonie;Licence;Sportif;karl.sepp@gmail.com;non-eligible
VOL028;Jansons;Janis;45;M;Lettonie;Master;;janis.jansons@gmail.com;apte
VOL085;Schneider;Jonas;47;M;Allemagne;;;jonas.schneider@hotmail.com;non-eligible
VOL059;Christodoulou;Yannis;51;M;Grèce;Doctorat;Médecin;yannis.christodoulou@yahoo.com;trop vieux
VOL083;Varga;Lukas;37;M;Slovaquie;Licence;Chercheur;lukas.varga@gmail.com;non-eligible
VOL043;Nikolaidis;Sofia;30;F;Grèce;Doctorat;Professeur de physique;sofia.nikolaidis@yahoo.com;apte
VOL100;Preda;Cristina;32;F;Roumanie / Allemagne;;;cristina.preda@mail.ro;non-eligible
VOL046;Georgiev;Stoyan;22;M;Bulgarie;Bac;;stoyan.georgiev@yahoo.com;non-formé
VOL053;Nilsson;Maja;40;F;Suède;Master;Chercheur;maja.nilsson@gmail.com;apte
VOL051;Stan;Elena;35;F;Roumanie;Bac;Chercheur;elena.stan@mail.ro;non-eligible
VOL040;Ionescu;Maria;35;F;Roumanie;Master;Enseignant;maria.ionescu@yahoo.com;apte
VOL026;Olsen;Nora;20;F;Norvège;Bac;Chercheur;nora.olsen@hotmail.com;non-formé
VOL084;Romano;Marco;32;M;Italie;;Médecin;marco.romano@yahoo.com;non-eligible
